jid,formula,delta_n_DFT,delta_n_IG,delta_eg_IG
JVASP-74186,Be2TlTc,3.231051052950467,0.04366016387939453,0.021675467491149902
JVASP-7697,CrSi2,3.1777182016871555,0.0439457893371582,0.02384042739868164
JVASP-9117,FeS2,2.9677470504733687,0.01534426212310791,0.017840147018432617
JVASP-44828,Li5CrO5,2.775290382509283,0.011549845337867737,0.012889772653579712
JVASP-25363,C,2.667112421871705,0.018650054931640625,0.003671109676361084
JVASP-30458,C,2.666891101874834,0.018649935722351074,0.0036711692810058594
JVASP-9126,As2Pt,2.4968672575028856,0.046787142753601074,0.023813724517822266
JVASP-74689,Be2InTc,2.4341710694695777,0.040543198585510254,0.021185457706451416
JVASP-74601,Be2GaTc,2.1969007514827874,0.043473243713378906,0.021441221237182617
JVASP-56324,Si2Ru,2.0119725386225986,0.04488348960876465,0.017586231231689453
JVASP-9108,RuSe2,1.8037833715429,0.02527034282684326,0.017318129539489746
JVASP-48321,LiV3O8,1.7815871816699476,0.009976506233215332,0.00038185715675354004
JVASP-9377,Tl4SnTe3,1.7585908665133596,0.07267701625823975,0.02412170171737671
JVASP-110967,Tl2Cu2SnTe4,1.5710892701609915,0.038741350173950195,0.022646307945251465
JVASP-30317,NiP2S6,1.5649219871564282,0.009522467851638794,0.009907186031341553
JVASP-9111,RuS2,1.516045279147337,0.005758762359619141,0.014295697212219238
JVASP-34127,Te5Mo4S3,1.449798597242586,0.03207981586456299,0.014359265565872192
JVASP-42554,V4O7F5,1.4496301632164998,0.008674860000610352,0.005546629428863525
JVASP-33908,Te3Mo2S,1.4364769401995088,0.031144380569458008,0.014992058277130127
JVASP-34014,TeMoS,1.3674148665729846,0.02978038787841797,0.017434030771255493
JVASP-33951,TeMoS,1.3133702049341434,0.035190701484680176,0.02265685796737671
JVASP-34132,TeMoS,1.302239603561194,0.02230048179626465,0.01613333821296692
JVASP-153312,Li2MgSi,1.2562606627863446,0.017519354820251465,0.00012767314910888672
JVASP-154525,Li2MgSi,1.245993675095331,0.017063379287719727,0.0006368160247802734
JVASP-29721,In2Te5,1.1775831996679105,0.04394391179084778,0.019583672285079956
JVASP-28801,Mo2SeS3,1.1046682803351389,0.015069365501403809,0.014107197523117065
JVASP-11997,As,1.0720103831419323,0.03802073001861572,0.022314488887786865
JVASP-25145,As,1.07198825004648,0.03802073001861572,0.022314488887786865
JVASP-56261,Ge3As4,1.058947994530068,0.04598438739776611,0.018361985683441162
JVASP-36720,VCu3Te4,1.0424565700817574,0.028812170028686523,0.008907347917556763
JVASP-56488,Sn3As4,1.0410954829729548,0.04444897174835205,0.02393662929534912
JVASP-56593,Si3As4,0.931207176198074,0.03491866588592529,0.016174763441085815
JVASP-28481,Te4Mo2WSe2,0.9243407646862288,0.03299644589424133,0.024058043956756592
JVASP-100369,Na4SrCaSi2,0.9098406350326332,0.0191495418548584,0.00336301326751709
JVASP-155,PdS2,0.8819264669544293,0.007961809635162354,0.006333678960800171
JVASP-56040,TlSn2Br5,0.8495476349063042,0.003988668322563171,0.00025875866413116455
JVASP-36721,NbCu3Te4,0.8478727676269009,0.025870800018310547,0.011979848146438599
JVASP-135065,RbHS,0.8214104092701735,0.03085315227508545,0.019707173109054565
JVASP-42181,Na3VO4,0.8195691849464319,0.00987553596496582,0.0017549991607666016
JVASP-22635,InSiTe3,0.8045569986170986,0.03512480854988098,0.014927536249160767
JVASP-30329,CrPO5,0.795723483951897,0.015514463186264038,0.0022813081741333008
JVASP-103127,AlInSb2,0.7722086136575395,0.03192472457885742,0.026249587535858154
JVASP-150695,AlSiTe3,0.746504742734631,0.030006617307662964,0.011146776378154755
JVASP-92177,Si7Ge,0.7090970498799076,0.033538103103637695,0.018838554620742798
JVASP-52497,YbB4O7,0.6977851711533998,0.0029637813568115234,0.008559226989746094
JVASP-895,I,0.6697525866770029,0.009910792112350464,0.0034424662590026855
JVASP-57797,SrB4O7,0.6598493271342414,0.007581472396850586,0.009093523025512695
JVASP-2280,TlGaTe2,0.6595363571635824,0.04810616374015808,0.024576127529144287
JVASP-102785,CdAsP,0.6423676710203239,0.03283804655075073,0.01906442642211914
JVASP-8552,TlInTe2,0.6390709490508897,0.04403585195541382,0.020302504301071167
