vid,formula,reduced_formula,seed_jid,seed_delta_n,n_mean,n_std,n_ci_lo,n_ci_hi,n_ci_half,eg_mean,eg_std,eg_ci_lo,eg_ci_hi,eg_ci_half,score,passes_gate,family,pareto_arm
VIRT-00022,Fe8 Si16,FeSi2,JVASP-56324,2.0119725386225986,5.154967625935872,0.0583321982021856,4.844308625935872,5.465626625935872,0.310659,0.5133851766586304,0.0969026471449173,-0.5195238233413697,1.5462941766586304,1.032909,0.9971085440957034,False,Silicide,high-n
VIRT-00007,Fe4 Se8,FeSe2,JVASP-9117,2.9677470504733687,4.669861475626628,0.2238637781330867,4.359202475626628,4.980520475626628,0.310659,0.5672681331634521,0.0994399956362846,-0.4656408668365479,1.6001771331634522,1.032909,0.6194046915734099,False,Selenide,high-n
VIRT-00061,Te10 Mo8 Se6,Te5Mo4Se3,JVASP-34127,1.449798597242586,4.008049329121907,0.0197892472899719,3.697390329121907,4.318708329121908,0.310659,0.6142946084340414,0.099512142651621,-0.4186143915659587,1.6472036084340416,1.032909,0.2704245626360108,False,Telluride,high-n
VIRT-00068,Te12 W8 S4,Te3W2S,JVASP-33908,1.4364769401995088,3.80431604385376,0.0486619520881711,3.4936570438537595,4.11497504385376,0.310659,0.7640058199564616,0.073822868131853,-0.2689031800435385,1.7969148199564615,1.032909,0.1705179324932885,False,Telluride,high-n
VIRT-00024,Os4 Se8,OsSe2,JVASP-9108,1.8037833715429,3.6858280499776206,0.1418503784237937,3.375169049977621,3.996487049977621,0.310659,0.8995532989501953,0.0376205383079422,-0.1333557010498047,1.9324622989501956,1.032909,0.099677542434471,False,Selenide,high-n
VIRT-00009,Os4 S8,OsS2,JVASP-9117,2.9677470504733687,3.60115917523702,0.101402360899756,3.29050017523702,3.91181817523702,0.310659,0.9944961071014404,0.0629232372137058,-0.0384128928985596,2.0274051071014405,1.032909,0.0826209196745591,False,Sulfide,high-n
VIRT-00091,Li8 Mg4 C4,Li2MgC,JVASP-153312,1.2562606627863446,3.1589667002360025,0.0535730829131236,2.8483077002360027,3.4696257002360023,0.310659,1.0314079920450847,0.2979392886159067,-0.0015010079549153,2.064316992045085,1.032909,-0.2263380049165939,False,Intermetallic,high-n
VIRT-00046,P2 Pd1 S6,P2PdS6,JVASP-30317,1.5649219871564282,2.835790634155273,0.0394294400373965,2.525131634155273,3.1464496341552737,0.310659,1.1166666746139526,0.0589399051854881,0.0837576746139525,2.1495756746139527,1.032909,-0.3704564258945211,False,Sulfide,high-n
VIRT-00087,Yb2 B8 Se14,YbB4Se7,JVASP-52497,0.6977851711533998,2.8120338916778564,0.0668286200343716,2.501374891677856,3.1226928916778567,0.310659,1.125627875328064,0.1687674208223841,0.0927188753280638,2.158536875328064,1.032909,-0.4143300977418127,False,Selenide,high-n
VIRT-00047,P2 Pt1 S6,P2PtS6,JVASP-30317,1.5649219871564282,2.7447827657063804,0.1689878417425117,2.434123765706381,3.05544176570638,0.310659,1.3740790685017903,0.1663986860190361,0.3411700685017902,2.40698806850179,1.032909,-0.4269461344677152,False,Sulfide,high-n
VIRT-00041,K1 V3 O8,KV3O8,JVASP-48321,1.7815871816699476,2.633414347966512,0.0896025818378314,2.3227553479665124,2.944073347966512,0.310659,1.49301274617513,0.1621501739844106,0.46010374617513,2.52592174617513,1.032909,-0.4339143898119342,False,Ternary oxide,high-n
VIRT-00040,Na1 V3 O8,NaV3O8,JVASP-48321,1.7815871816699476,2.574474891026815,0.1207981035101176,2.263815891026815,2.8851338910268147,0.310659,1.5281619628270466,0.1774875494606123,0.4952529628270465,2.5610709628270465,1.032909,-0.4784891084556614,False,Ternary oxide,high-n
VIRT-00044,Li1 Nb3 O8,LiNb3O8,JVASP-48321,1.7815871816699476,2.500384489695231,0.1090648421098541,2.189725489695231,2.8110434896952308,0.310659,2.4054797490437827,0.0690726956166994,1.3725707490437826,3.4383887490437828,1.032909,-0.2450208275553057,False,Ternary oxide,high-n
VIRT-00045,Li1 Ta3 O8,LiTa3O8,JVASP-48321,1.7815871816699476,2.133890231450399,0.0589477381468067,1.823231231450399,2.4445492314503987,0.310659,3.1943352222442627,0.1407890470416499,2.1614262222442626,4.227244222244263,1.032909,-0.250878873671116,False,Ternary oxide,high-Eg
VIRT-00013,Li5 W1 O5,Li5WO5,JVASP-44828,2.775290382509283,1.9370162884394329,0.0401082667398719,1.6263572884394328,2.247675288439433,0.310659,3.2392707665761318,0.3455480089228287,2.2063617665761317,4.272179766576132,1.032909,-0.3987588428412489,False,Ternary oxide,high-Eg
VIRT-00070,Rb1 Be2 Br5,RbBe2Br5,JVASP-52863,0.3493372397045284,1.9150536060333248,0.0972700920880249,1.6043946060333252,2.225712606033325,0.310659,3.485126574834188,0.2281372780537536,2.452217574834188,4.5180355748341885,1.032909,-0.343104946095109,False,Halide,high-Eg
VIRT-00088,Sc2 B8 O14,ScB4O7,JVASP-52497,0.6977851711533998,1.8240139881769817,0.0437201904224982,1.5133549881769817,2.1346729881769817,0.310659,5.550312519073486,0.469031547646812,4.517403519073486,6.583221519073486,1.032909,0.1850351466481042,False,Ternary oxide,high-Eg
VIRT-00102,K2 Li2 F4,KLiF2,JVASP-23980,0.3214135708543171,1.3565324544906616,0.0427143753078583,1.0458734544906616,1.6671914544906616,0.310659,6.697983105977376,0.1347409660465998,5.665074105977376,7.730892105977376,1.032909,0.2694959418788658,False,Fluoride,high-Eg
VIRT-00075,Rb1 Ca2 F5,RbCa2F5,JVASP-52863,0.3493372397045284,1.351493239402771,0.0092554080715073,1.040834239402771,1.662152239402771,0.310659,6.894728978474935,0.1169107008160179,5.861819978474935,7.927637978474935,1.032909,0.3409353427974409,False,Fluoride,high-Eg
VIRT-00101,Cs2 H2 F4,CsHF2,JVASP-23980,0.3214135708543171,1.3270934422810872,0.024810202007914,1.0164344422810871,1.6377524422810872,0.310659,7.232972939809163,0.1763382896370898,6.200063939809163,8.265881939809162,1.032909,0.4076904397031008,False,Fluoride,high-Eg
VIRT-00096,K2 B2 F8,KBF4,JVASP-57703,0.3472936067572811,1.3068868319193525,0.0302752218392487,0.9962278319193524,1.6175458319193523,0.310659,7.242855389912923,0.2297146566147705,6.209946389912923,8.275764389912922,1.032909,0.3853441575523264,False,Fluoride,high-Eg
VIRT-00073,Cs1 Be2 F5,CsBe2F5,JVASP-52863,0.3493372397045284,1.2561797698338826,0.0135699418299416,0.9455207698338826,1.5668387698338826,0.310659,7.309339046478271,0.123339169806901,6.276430046478271,8.342248046478272,1.032909,0.396494612413355,False,Fluoride,high-Eg
VIRT-00072,K1 Be2 F5,KBe2F5,JVASP-52863,0.3493372397045284,1.2417406638463335,0.0235158202872946,0.9310816638463336,1.5523996638463338,0.310659,7.34521468480428,0.0900109927314173,6.31230568480428,8.37812368480428,1.032909,0.3992824441726995,False,Fluoride,high-Eg
